AirAlmanac 2023

2023 January 01 (Sun)  dUT1=UT1-UTC=-0.0199s  dTT=TT-UT1=+69.2039s

UT |        Sun        |      Moon     |   Aries  |
   |    GHA      Dec   |    GHA    Dec |    GHA   |
 h |   °   '    °   '  |   °      °  ' |   °   '  |
 0 | 179 12.1 -23  2.4 |  68 44  12  4 | 100 23.3 |
 1 | 194 11.8 -23  2.2 |  83 16  12 18 | 115 25.8 |
 2 | 209 11.5 -23  2.0 |  97 49  12 31 | 130 28.2 |
 3 | 224 11.3 -23  1.8 | 112 22  12 44 | 145 30.7 |
 4 | 239 11.0 -23  1.6 | 126 55  12 57 | 160 33.2 |
 5 | 254 10.7 -23  1.4 | 141 27  13 11 | 175 35.6 |
 6 | 269 10.4 -23  1.2 | 156  0  13 24 | 190 38.1 |
 7 | 284 10.1 -23  1.0 | 170 33  13 37 | 205 40.6 |
 8 | 299  9.8 -23  0.8 | 185  6  13 49 | 220 43.0 |
 9 | 314  9.5 -23  0.6 | 199 38  14  2 | 235 45.5 |
10 | 329  9.2 -23  0.4 | 214 11  14 15 | 250 48.0 |
11 | 344  8.9 -23  0.2 | 228 43  14 28 | 265 50.4 |
12 | 359  8.6 -23  0.0 | 243 15  14 40 | 280 52.9 |
13 |  14  8.3 -22 59.8 | 257 48  14 53 | 295 55.4 |
14 |  29  8.0 -22 59.6 | 272 21  15  5 | 310 57.8 |
15 |  44  7.7 -22 59.3 | 286 53  15 18 | 326  0.3 |
16 |  59  7.4 -22 59.1 | 301 26  15 30 | 341  2.7 |
17 |  74  7.1 -22 58.9 | 315 58  15 42 | 356  5.2 |
18 |  89  6.8 -22 58.7 | 330 30  15 54 |  11  7.7 |
19 | 104  6.5 -22 58.5 | 345  3  16  6 |  26 10.1 |
20 | 119  6.2 -22 58.3 | 359 35  16 18 |  41 12.6 |
21 | 134  6.0 -22 58.1 |  14  7  16 30 |  56 15.1 |
22 | 149  5.7 -22 57.9 |  28 39  16 42 |  71 17.5 |
23 | 164  5.4 -22 57.6 |  43 11  16 54 |  86 20.0 |
