AirAlmanac 2023 https://aa.usno.navy.mil/downloads/publications/aira23_all.pdf

2023 June 10 (Sat)  dUT1=UT1-UTC=-0.0239s  dTT=TT-UT1=+69.2079s

UT |        Sun        |      Moon     |   Aries  |
   |    GHA      Dec   |    GHA    Dec |    GHA   |
 h |   °   '    °   '  |   °  '   °  ' |   °   '  |
 0 | 180 10.2  22 58.4 | 276 39 -12 23 | 258  5.6 |
 1 | 195 10.0  22 58.6 | 291  8 -12  8 | 273  8.0 |
 2 | 210  9.9  22 58.8 | 305 38 -11 52 | 288 10.5 |
 3 | 225  9.8  22 59.0 | 320  8 -11 37 | 303 12.9 |
 4 | 240  9.7  22 59.2 | 334 38 -11 22 | 318 15.4 |
 5 | 255  9.5  22 59.4 | 349  8 -11  7 | 333 17.9 |
 6 | 270  9.4  22 59.6 |   3 38 -10 51 | 348 20.3 |
 7 | 285  9.3  22 59.8 |  18  8 -10 36 |   3 22.8 |
 8 | 300  9.2  23  0.0 |  32 38 -10 20 |  18 25.3 |
 9 | 315  9.0  23  0.2 |  47  8 -10  5 |  33 27.7 |
10 | 330  8.9  23  0.4 |  61 38  -9 49 |  48 30.2 |
11 | 345  8.8  23  0.6 |  76  9  -9 34 |  63 32.7 |
12 |   0  8.7  23  0.8 |  90 39  -9 18 |  78 35.1 |
13 |  15  8.5  23  1.0 | 105 10  -9  2 |  93 37.6 |
14 |  30  8.4  23  1.1 | 119 40  -8 47 | 108 40.1 |
15 |  45  8.3  23  1.3 | 134 11  -8 31 | 123 42.5 |
16 |  60  8.2  23  1.5 | 148 42  -8 15 | 138 45.0 |
17 |  75  8.0  23  1.7 | 163 13  -7 59 | 153 47.4 |
18 |  90  7.9  23  1.9 | 177 44  -7 43 | 168 49.9 |
19 | 105  7.8  23  2.1 | 192 14  -7 28 | 183 52.4 |
20 | 120  7.7  23  2.3 | 206 45  -7 12 | 198 54.8 |
21 | 135  7.5  23  2.5 | 221 16  -6 56 | 213 57.3 |
22 | 150  7.4  23  2.6 | 235 48  -6 40 | 228 59.8 |
23 | 165  7.3  23  2.8 | 250 19  -6 24 | 244  2.2 |
